"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-19","83","64","82"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-20","88","61","84"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-21","85","61","83"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-22","83","61","66"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-23","71","49","69"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-24","75","48","72"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-25","74","53","72"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-26","74","58","68"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-27","79","45","74"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-28","83","48","81"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-29","87","57","84"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-30","91","67","88"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-31","92","71","90"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-01","92","67","89"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-02","89","73","78"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-03","78","57","57"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-04","66","51","63"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-05","71","58","68"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-06","70","58","64"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-07","77","58","76"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-08","79","64","79"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-09","79","58","74"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-10","74","58","72"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-11","74","57","74"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-12","74","61","69"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-13","80","56","76"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-14","76","58","69"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-15","76","58","76"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-16","85","62","80"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-17","80","58","79"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-18","88","62","82"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-19","86","70","84"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-20","87","62","86"
